image_id,label_class
tile_r0_c0_2022-03-31,2
tile_r0_c0_2022-10-25,2
tile_r0_c0_2022-05-26,2
tile_r0_c0_2022-09-23,2
tile_r0_c0_2022-06-03,2
tile_r0_c0_2022-08-22,2
tile_r0_c0_2022-02-03,1
tile_r0_c0_2022-12-28,1
tile_r0_c0_2022-05-02,0
tile_r0_c0_2022-01-10,1
tile_r0_c1_2022-03-31,2
tile_r0_c1_2022-10-25,2
tile_r0_c1_2022-05-26,2
tile_r0_c1_2022-09-23,2
tile_r0_c1_2022-06-03,2
tile_r0_c1_2022-08-22,2
tile_r0_c1_2022-02-03,1
tile_r0_c1_2022-12-28,1
tile_r0_c1_2022-05-02,1
tile_r0_c1_2022-01-10,1
tile_r0_c2_2022-03-31,2
tile_r0_c2_2022-10-25,2
tile_r0_c2_2022-05-26,2
tile_r0_c2_2022-09-23,2
tile_r0_c2_2022-06-03,2
tile_r0_c2_2022-08-22,2
tile_r0_c2_2022-02-03,1
tile_r0_c2_2022-12-28,1
tile_r0_c2_2022-05-02,1
tile_r0_c2_2022-01-10,1
tile_r0_c5_2022-03-31,2
tile_r0_c5_2022-10-25,2
tile_r0_c5_2022-05-26,2
tile_r0_c5_2022-09-23,2
tile_r0_c5_2022-06-03,2
tile_r0_c5_2022-08-22,2
tile_r0_c5_2022-02-03,1
tile_r0_c5_2022-12-28,1
tile_r0_c5_2022-05-02,1
tile_r0_c5_2022-01-10,1
tile_r0_c6_2022-03-31,1
tile_r0_c6_2022-10-25,1
tile_r0_c6_2022-05-26,1
tile_r0_c6_2022-09-23,1
tile_r0_c6_2022-06-03,2
tile_r0_c6_2022-08-22,1
tile_r0_c6_2022-02-03,0
tile_r0_c6_2022-12-28,0
tile_r0_c6_2022-01-10,0
tile_r0_c7_2022-03-31,0
tile_r0_c7_2022-10-25,0
tile_r0_c7_2022-05-26,0
tile_r0_c7_2022-09-23,1
tile_r0_c7_2022-06-03,1
tile_r0_c7_2022-08-22,1
tile_r0_c7_2022-02-03,0
tile_r0_c7_2022-12-28,0
tile_r0_c7_2022-01-10,0
tile_r0_c9_2022-03-31,0
tile_r0_c9_2022-10-25,1
tile_r0_c9_2022-05-26,0
tile_r0_c9_2022-09-23,1
tile_r0_c9_2022-06-03,1
tile_r0_c9_2022-08-22,1
tile_r0_c9_2022-02-03,0
tile_r0_c9_2022-12-28,0
tile_r0_c9_2022-01-10,0
tile_r1_c0_2022-03-31,2
tile_r1_c0_2022-10-25,2
tile_r1_c0_2022-05-26,2
tile_r1_c0_2022-09-23,2
tile_r1_c0_2022-06-03,2
tile_r1_c0_2022-08-22,2
tile_r1_c0_2022-02-03,1
tile_r1_c0_2022-12-28,1
tile_r1_c0_2022-05-02,1
tile_r1_c0_2022-01-10,1
tile_r1_c1_2022-03-31,2
tile_r1_c1_2022-10-25,2
tile_r1_c1_2022-05-26,2
tile_r1_c1_2022-09-23,2
tile_r1_c1_2022-06-03,2
tile_r1_c1_2022-08-22,2
tile_r1_c1_2022-02-03,1
tile_r1_c1_2022-12-28,1
tile_r1_c1_2022-05-02,1
tile_r1_c1_2022-01-10,1
tile_r1_c4_2022-03-31,2
tile_r1_c4_2022-10-25,2
tile_r1_c4_2022-05-26,2
tile_r1_c4_2022-09-23,2
tile_r1_c4_2022-06-03,2
tile_r1_c4_2022-08-22,2
tile_r1_c4_2022-02-03,1
tile_r1_c4_2022-12-28,1
tile_r1_c4_2022-05-02,1
tile_r1_c4_2022-01-10,1
tile_r1_c5_2022-03-31,2
tile_r1_c5_2022-10-25,2
tile_r1_c5_2022-05-26,2
tile_r1_c5_2022-09-23,2
tile_r1_c5_2022-06-03,2
tile_r1_c5_2022-08-22,2
tile_r1_c5_2022-02-03,1
tile_r1_c5_2022-12-28,1
tile_r1_c5_2022-05-02,1
tile_r1_c5_2022-01-10,1
tile_r1_c6_2022-03-31,2
tile_r1_c6_2022-10-25,1
tile_r1_c6_2022-05-26,2
tile_r1_c6_2022-09-23,2
tile_r1_c6_2022-06-03,2
tile_r1_c6_2022-08-22,2
tile_r1_c6_2022-02-03,1
tile_r1_c6_2022-12-28,1
tile_r1_c6_2022-05-02,1
tile_r1_c6_2022-01-10,1
tile_r1_c8_2022-03-31,0
tile_r1_c8_2022-10-25,0
tile_r1_c8_2022-05-26,0
tile_r1_c8_2022-09-23,1
tile_r1_c8_2022-06-03,1
tile_r1_c8_2022-08-22,1
tile_r1_c8_2022-02-03,0
tile_r1_c8_2022-12-28,0
tile_r1_c8_2022-01-10,0
tile_r2_c0_2022-03-31,2
tile_r2_c0_2022-10-25,2
tile_r2_c0_2022-05-26,2
tile_r2_c0_2022-09-23,2
tile_r2_c0_2022-06-03,2
tile_r2_c0_2022-08-22,2
tile_r2_c0_2022-02-03,1
tile_r2_c0_2022-12-28,1
tile_r2_c0_2022-05-02,1
tile_r2_c0_2022-01-10,1
tile_r2_c1_2022-03-31,2
tile_r2_c1_2022-10-25,2
tile_r2_c1_2022-05-26,2
tile_r2_c1_2022-09-23,2
tile_r2_c1_2022-06-03,2
tile_r2_c1_2022-08-22,2
tile_r2_c1_2022-02-03,1
tile_r2_c1_2022-12-28,1
tile_r2_c1_2022-05-02,1
tile_r2_c1_2022-01-10,1
tile_r2_c2_2022-03-31,2
tile_r2_c2_2022-10-25,2
tile_r2_c2_2022-05-26,2
tile_r2_c2_2022-09-23,2
tile_r2_c2_2022-06-03,2
tile_r2_c2_2022-08-22,2
tile_r2_c2_2022-02-03,1
tile_r2_c2_2022-12-28,1
tile_r2_c2_2022-05-02,2
tile_r2_c2_2022-01-10,1
tile_r2_c3_2022-03-31,2
tile_r2_c3_2022-10-25,2
tile_r2_c3_2022-05-26,2
tile_r2_c3_2022-09-23,2
tile_r2_c3_2022-06-03,2
tile_r2_c3_2022-08-22,2
tile_r2_c3_2022-02-03,1
tile_r2_c3_2022-12-28,1
tile_r2_c3_2022-05-02,1
tile_r2_c3_2022-01-10,1
tile_r2_c4_2022-03-31,2
tile_r2_c4_2022-10-25,2
tile_r2_c4_2022-05-26,2
tile_r2_c4_2022-09-23,2
tile_r2_c4_2022-06-03,2
tile_r2_c4_2022-08-22,2
tile_r2_c4_2022-02-03,1
tile_r2_c4_2022-12-28,1
tile_r2_c4_2022-05-02,1
tile_r2_c4_2022-01-10,1
tile_r2_c7_2022-03-31,1
tile_r2_c7_2022-10-25,1
tile_r2_c7_2022-05-26,1
tile_r2_c7_2022-09-23,1
tile_r2_c7_2022-06-03,2
tile_r2_c7_2022-08-22,2
tile_r2_c7_2022-02-03,0
tile_r2_c7_2022-12-28,1
tile_r2_c7_2022-01-10,0
tile_r2_c8_2022-03-31,0
tile_r2_c8_2022-10-25,1
tile_r2_c8_2022-05-26,0
tile_r2_c8_2022-09-23,1
tile_r2_c8_2022-06-03,1
tile_r2_c8_2022-08-22,1
tile_r2_c8_2022-02-03,0
tile_r2_c8_2022-12-28,0
tile_r2_c8_2022-01-10,0
tile_r2_c9_2022-03-31,0
tile_r2_c9_2022-10-25,0
tile_r2_c9_2022-05-26,0
tile_r2_c9_2022-09-23,1
tile_r2_c9_2022-06-03,1
tile_r2_c9_2022-08-22,1
tile_r2_c9_2022-02-03,0
tile_r2_c9_2022-12-28,0
tile_r2_c9_2022-01-10,0
tile_r3_c1_2022-03-31,2
tile_r3_c1_2022-10-25,2
tile_r3_c1_2022-05-26,2
tile_r3_c1_2022-09-23,2
tile_r3_c1_2022-06-03,2
tile_r3_c1_2022-08-22,2
tile_r3_c1_2022-02-03,1
tile_r3_c1_2022-12-28,1
tile_r3_c1_2022-05-02,1
tile_r3_c1_2022-01-10,1
tile_r3_c3_2022-03-31,2
tile_r3_c3_2022-10-25,2
tile_r3_c3_2022-05-26,2
tile_r3_c3_2022-09-23,2
tile_r3_c3_2022-06-03,2
tile_r3_c3_2022-08-22,2
tile_r3_c3_2022-02-03,1
tile_r3_c3_2022-12-28,1
tile_r3_c3_2022-05-02,2
tile_r3_c3_2022-01-10,1
tile_r3_c4_2022-03-31,2
tile_r3_c4_2022-10-25,2
tile_r3_c4_2022-05-26,2
tile_r3_c4_2022-09-23,2
tile_r3_c4_2022-06-03,2
tile_r3_c4_2022-08-22,2
tile_r3_c4_2022-02-03,1
tile_r3_c4_2022-12-28,2
tile_r3_c4_2022-05-02,1
tile_r3_c4_2022-01-10,1
tile_r3_c5_2022-03-31,2
tile_r3_c5_2022-10-25,2
tile_r3_c5_2022-05-26,2
tile_r3_c5_2022-09-23,2
tile_r3_c5_2022-06-03,2
tile_r3_c5_2022-08-22,2
tile_r3_c5_2022-02-03,1
tile_r3_c5_2022-12-28,2
tile_r3_c5_2022-01-10,1
tile_r3_c6_2022-03-31,2
tile_r3_c6_2022-10-25,2
tile_r3_c6_2022-05-26,2
tile_r3_c6_2022-09-23,2
tile_r3_c6_2022-06-03,2
tile_r3_c6_2022-08-22,2
tile_r3_c6_2022-02-03,1
tile_r3_c6_2022-12-28,2
tile_r3_c6_2022-01-10,1
tile_r3_c8_2022-03-31,0
tile_r3_c8_2022-10-25,1
tile_r3_c8_2022-05-26,0
tile_r3_c8_2022-09-23,1
tile_r3_c8_2022-06-03,2
tile_r3_c8_2022-08-22,2
tile_r3_c8_2022-02-03,0
tile_r3_c8_2022-12-28,0
tile_r3_c8_2022-05-02,0
tile_r3_c8_2022-01-10,0
tile_r4_c0_2022-03-31,2
tile_r4_c0_2022-10-25,2
tile_r4_c0_2022-05-26,2
tile_r4_c0_2022-09-23,2
tile_r4_c0_2022-06-03,2
tile_r4_c0_2022-08-22,2
tile_r4_c0_2022-02-03,1
tile_r4_c0_2022-12-28,1
tile_r4_c0_2022-01-10,1
tile_r4_c1_2022-03-31,2
tile_r4_c1_2022-10-25,2
tile_r4_c1_2022-05-26,2
tile_r4_c1_2022-09-23,2
tile_r4_c1_2022-06-03,2
tile_r4_c1_2022-08-22,2
tile_r4_c1_2022-02-03,1
tile_r4_c1_2022-12-28,1
tile_r4_c1_2022-01-10,1
tile_r4_c2_2022-03-31,2
tile_r4_c2_2022-10-25,1
tile_r4_c2_2022-05-26,2
tile_r4_c2_2022-09-23,2
tile_r4_c2_2022-06-03,2
tile_r4_c2_2022-08-22,2
tile_r4_c2_2022-02-03,0
tile_r4_c2_2022-12-28,1
tile_r4_c2_2022-01-10,0
tile_r4_c3_2022-03-31,2
tile_r4_c3_2022-10-25,2
tile_r4_c3_2022-05-26,2
tile_r4_c3_2022-09-23,2
tile_r4_c3_2022-06-03,2
tile_r4_c3_2022-08-22,2
tile_r4_c3_2022-02-03,0
tile_r4_c3_2022-12-28,1
tile_r4_c3_2022-01-10,0
tile_r4_c4_2022-03-31,2
tile_r4_c4_2022-10-25,2
tile_r4_c4_2022-05-26,2
tile_r4_c4_2022-09-23,2
tile_r4_c4_2022-06-03,2
tile_r4_c4_2022-08-22,2
tile_r4_c4_2022-02-03,1
tile_r4_c4_2022-12-28,2
tile_r4_c4_2022-01-10,1
tile_r4_c6_2022-03-31,2
tile_r4_c6_2022-10-25,2
tile_r4_c6_2022-05-26,2
tile_r4_c6_2022-09-23,2
tile_r4_c6_2022-06-03,2
tile_r4_c6_2022-08-22,2
tile_r4_c6_2022-02-03,1
tile_r4_c6_2022-12-28,2
tile_r4_c6_2022-01-10,1
tile_r4_c7_2022-03-31,2
tile_r4_c7_2022-10-25,2
tile_r4_c7_2022-05-26,2
tile_r4_c7_2022-09-23,2
tile_r4_c7_2022-06-03,2
tile_r4_c7_2022-08-22,2
tile_r4_c7_2022-02-03,1
tile_r4_c7_2022-12-28,2
tile_r4_c7_2022-01-10,1
tile_r4_c9_2022-03-31,0
tile_r4_c9_2022-10-25,0
tile_r4_c9_2022-05-26,0
tile_r4_c9_2022-09-23,1
tile_r4_c9_2022-06-03,1
tile_r4_c9_2022-08-22,1
tile_r4_c9_2022-02-03,0
tile_r4_c9_2022-12-28,0
tile_r4_c9_2022-01-10,0
